Date,Open,High,Low,Last,Volume
2012-02-17,136.52,136.63,135.96,136.41,128799700
2012-02-21,136.73,137.05,136.05,136.47,133877900
2012-02-22,136.26,136.55,135.79,136.03,123970500
2012-02-23,135.96,136.73,135.50,136.63,137451500
2012-02-24,136.93,137.20,136.63,136.93,105423000
2012-02-27,136.02,137.53,135.80,137.16,141071900
2012-02-28,137.20,137.72,136.93,137.56,129131500
2012-02-29,137.76,138.19,136.54,137.02,185551400
2012-03-01,137.31,137.99,136.93,137.73,144732000
2012-03-02,137.64,137.82,137.00,137.31,119019800
2012-03-05,137.10,137.20,136.28,136.75,140487400
2012-03-06,135.35,135.43,134.36,134.75,201735200
2012-03-07,135.06,135.91,134.93,135.69,143541400
2012-03-08,136.52,137.32,136.24,137.04,116651000
2012-03-09,137.30,137.93,137.13,137.57,122721100
2012-03-12,137.55,137.76,137.09,137.58,103860200
2012-03-13,138.32,140.13,138.09,140.06,182857500
2012-03-14,140.10,140.45,139.48,139.91,143933000
2012-03-15,140.12,140.78,139.76,140.72,164849700
2012-03-16,140.36,140.48,140.00,140.30,151698700
2012-03-19,140.21,141.28,140.11,140.85,125201100
2012-03-20,140.05,140.61,139.64,140.44,121615500
2012-03-21,140.52,140.65,139.92,140.21,122203000
2012-03-22,139.18,139.55,138.74,139.20,134993400
2012-03-23,139.32,139.81,138.55,139.65,120369700
2012-03-26,140.65,141.61,140.60,141.61,119364900
2012-03-27,141.74,141.83,141.08,141.17,119531100
2012-03-28,141.10,141.32,139.64,140.47,148390300
2012-03-29,139.64,140.49,139.09,140.23,164856400
2012-03-30,140.92,141.05,140.05,140.81,135031600
2012-04-02,140.64,142.21,140.36,141.84,151572100
2012-04-03,141.64,141.88,140.43,141.26,155694800
2012-04-04,140.22,140.34,139.34,139.86,146720500
2012-04-05,139.38,140.20,139.26,139.79,137117100
2012-04-09,138.03,139.84,137.84,138.22,127379700
2012-04-10,137.95,138.34,135.76,135.90,235060000
2012-04-11,137.29,137.54,136.75,137.00,153290900
2012-04-12,137.13,138.90,137.03,138.79,153528500
2012-04-13,138.47,138.82,137.01,137.14,168967500
2012-04-16,137.84,138.04,136.58,137.05,147646100
2012-04-17,137.84,139.36,137.70,139.08,144612500
2012-04-18,138.46,139.08,138.38,138.61,122716800
2012-04-19,138.63,139.15,137.07,137.72,198175800
2012-04-20,138.33,138.83,137.87,137.95,142743300
2012-04-23,136.54,136.91,135.94,136.79,171696900
2012-04-24,136.91,137.66,136.80,137.31,137213500
2012-04-25,138.65,139.25,138.53,139.19,150131000
2012-04-26,138.89,140.32,138.81,140.16,135323000
2012-04-27,140.58,140.79,139.80,140.39,123858100
2012-04-30,140.11,140.21,139.49,139.87,114987800
2012-05-01,139.79,141.66,139.63,140.74,138695300
2012-05-02,139.92,140.46,139.46,140.33,120969500
2012-05-03,140.34,140.45,138.99,139.25,143410300
2012-05-04,138.52,139.30,136.92,137.00,193308800
2012-05-07,136.51,137.56,136.46,137.10,127621500
2012-05-08,136.28,136.77,134.92,136.55,212601600
2012-05-09,135.10,136.61,134.49,135.74,220502700
2012-05-10,136.68,136.85,135.71,136.02,149857100
2012-05-11,135.17,136.87,135.11,135.61,152972800
2012-05-14,134.31,135.61,133.91,134.11,163101700
2012-05-15,134.02,134.81,133.13,133.34,207222100
2012-05-16,133.94,134.55,132.80,132.83,206954700
2012-05-17,132.86,133.02,130.79,130.86,247442900
2012-05-18,131.37,131.60,129.55,129.74,319312700
2012-05-21,130.16,132.02,129.95,131.97,176691800
2012-05-22,132.31,133.23,131.34,132.20,197220400
2012-05-23,131.25,132.46,129.99,132.27,204606800
2012-05-24,132.63,132.84,131.42,132.53,166970800
2012-05-25,132.48,132.85,131.78,132.10,135375800
2012-05-29,133.16,133.93,131.17,133.70,152428000
2012-05-30,132.56,133.69,131.49,131.76,162135900
2012-05-31,131.71,132.45,130.34,131.47,195801000
2012-06-01,129.41,131.50,128.16,128.16,253012100
2012-06-04,128.39,128.74,127.14,128.10,202287000
2012-06-05,127.85,129.26,127.78,129.07,163675900
2012-06-06,129.97,132.03,129.93,131.97,183791200
2012-06-07,133.47,133.53,131.78,132.05,184558300
2012-06-08,131.71,133.13,131.29,133.10,143424100
2012-06-11,134.17,134.25,131.28,131.42,169418700
2012-06-12,131.79,133.01,131.16,132.92,181692800
2012-06-13,132.53,133.36,131.62,132.07,171922600
2012-06-14,132.34,134.00,131.98,133.47,230429100
2012-06-15,133.38,134.26,133.10,134.14,168981200
2012-06-18,133.58,134.73,133.28,134.40,131131900
2012-06-19,135.08,136.25,134.37,135.70,137142400
2012-06-20,135.71,136.10,134.27,135.48,206292700
2012-06-21,135.64,135.78,132.33,132.44,204979100
2012-06-22,133.13,133.71,132.62,133.46,129826500
2012-06-25,132.05,132.10,130.85,131.32,146245400
2012-06-26,131.70,132.38,130.93,131.98,141376200
2012-06-27,132.42,133.43,131.97,133.17,107973200
2012-06-28,132.29,132.99,131.28,132.79,168914500
2012-06-29,135.20,136.27,134.85,136.11,211933400
2012-07-02,136.48,136.65,135.52,136.51,129022800
2012-07-03,136.48,137.51,136.34,137.41,80450170
2012-07-05,136.90,137.80,136.29,136.79,126019900
2012-07-06,135.47,135.77,134.85,135.49,151088600
2012-07-09,135.38,135.57,134.70,135.32,103692900
2012-07-10,136.01,136.23,133.68,134.14,162695900
2012-07-11,134.21,134.60,133.38,134.16,142429100
2012-07-12,133.38,134.23,132.60,133.51,143410600
2012-07-13,133.86,135.89,133.84,135.75,129591300
2012-07-16,135.44,135.83,134.90,135.43,97407590
2012-07-17,135.97,136.64,134.55,136.36,138562200
2012-07-18,136.04,137.64,135.96,137.37,113109700
2012-07-19,137.65,138.18,137.21,137.73,129722900
2012-07-20,136.95,137.16,136.32,136.47,142808200
2012-07-23,134.47,136.39,133.84,135.09,144742300
2012-07-24,135.19,135.25,133.03,133.93,172955200
2012-07-25,134.21,134.56,133.25,133.96,128999400
2012-07-26,135.89,136.46,135.26,136.17,156021400
2012-07-27,136.89,139.07,136.14,138.68,236664300
2012-07-30,138.52,139.34,138.27,138.68,106708900
2012-07-31,138.49,138.87,137.71,137.71,120480100
2012-08-01,138.70,138.73,137.40,137.59,138248100
2012-08-02,136.55,137.57,135.58,136.64,198342700
2012-08-03,138.56,139.64,136.68,139.35,157697800
2012-08-06,139.72,140.17,139.56,139.62,84837660
2012-08-07,140.18,140.92,140.03,140.32,109386200
2012-08-08,139.85,140.65,139.81,140.49,89633240
2012-08-09,140.29,140.89,140.15,140.61,90077960
2012-08-10,140.04,140.89,139.81,140.84,99716250
2012-08-13,140.60,140.84,140.04,140.77,79340450
2012-08-14,141.29,141.38,140.37,140.79,102195700
2012-08-15,140.64,141.19,140.55,140.95,70967140
2012-08-16,141.15,142.16,140.80,141.99,111930300
2012-08-17,142.23,142.30,141.86,142.18,90745600
2012-08-20,141.98,142.22,141.59,142.19,78075430
2012-08-21,142.54,143.09,141.45,141.76,105386500
2012-08-22,141.40,142.05,141.07,141.82,132911500
2012-08-23,141.47,141.48,140.44,140.67,111345400
2012-08-24,140.31,141.83,140.22,141.51,99405470
2012-08-27,141.89,142.08,141.34,141.54,68705670
2012-08-28,141.18,141.84,140.97,141.40,75590370
2012-08-29,141.52,141.89,141.12,141.51,65350640
2012-08-30,140.90,140.94,140.19,140.49,96437850
2012-08-31,141.29,141.82,140.36,141.16,151855800
2012-09-04,141.04,141.46,140.13,141.03,119428600
2012-09-05,141.09,141.47,140.63,140.91,100468100
2012-09-06,141.76,143.78,141.75,143.77,157843500
2012-09-07,144.01,144.39,143.88,144.33,107149900
2012-09-10,144.19,144.44,143.46,143.51,86192090
2012-09-11,143.60,144.37,143.56,143.91,86066160
2012-09-12,144.39,144.55,143.90,144.39,87582400
2012-09-13,144.37,147.04,143.99,146.59,225215000
2012-09-14,146.88,148.11,146.76,147.24,169526900
2012-09-17,146.94,147.19,146.37,146.74,119130200
2012-09-18,146.49,146.81,146.25,146.62,98279180
2012-09-19,146.79,147.17,146.41,146.70,128138300
2012-09-20,146.03,146.79,145.63,146.71,153842000
2012-09-21,146.64,146.67,145.81,145.87,108492000
2012-09-24,145.15,145.98,145.04,145.65,95573840
2012-09-25,145.96,146.24,144.06,144.10,134021900
2012-09-26,144.07,144.11,142.95,143.30,146254000
2012-09-27,143.89,144.97,143.51,144.64,111619000
2012-09-28,144.09,144.56,143.46,143.97,150571100
2012-10-01,144.52,145.69,144.01,144.35,132784600
2012-10-02,144.92,145.15,143.83,144.50,113342000
2012-10-03,144.89,145.43,144.13,145.09,120993300
2012-10-04,145.64,146.34,145.44,146.13,124161400
2012-10-05,146.91,147.16,145.70,146.14,124615500
2012-10-08,145.60,146.12,145.31,145.64,78251370
2012-10-09,145.53,145.65,144.15,144.20,148417100
2012-10-10,144.18,144.32,143.09,143.28,123812600
2012-10-11,144.28,144.49,143.33,143.36,123519600
2012-10-12,143.46,143.95,142.58,142.89,123574400
2012-10-15,143.23,144.23,142.77,144.08,107442600
2012-10-16,144.76,145.64,144.66,145.54,108483300
2012-10-17,145.64,146.32,145.42,146.20,128742200
2012-10-18,145.82,146.52,145.33,145.82,147954200
2012-10-19,145.55,145.56,143.05,143.39,185302900
2012-10-22,143.15,143.67,142.28,143.41,125307200
2012-10-23,141.86,142.06,140.83,141.42,191886000
2012-10-24,141.93,142.10,140.80,141.02,119896700
2012-10-25,142.02,142.28,140.57,141.43,134101500
2012-10-26,141.30,141.84,140.39,141.35,9999999
